option                              , v21.2         , v21           , v20.2
env.w_damage_dealt                  , 0.5           , 0.5           , 0.5
env.w_attack_attempt                , 0.1           , 0.1           , 0.1
env.w_damage_taken                  , -0.6          , -0.6          , -0.6
env.w_npc_kill                      , 3.0           , 3.0           , 3.0
env.w_wave_clear                    , 10.0          , 10.0          , 10.0
env.w_jad_damage                    , 2.0           , 2.0           , 2.0
env.w_jad_kill                      , 50.0          , 50.0          , 50.0
env.w_player_death                  , -20.0         , -20.0         , -20.0
env.w_cave_complete                 , 100.0         , 100.0         , 100.0
env.w_food_used                     , 0.0           , 0.0           , 0.0
env.w_food_used_well                , 0.0           , 0.0           , 0.0
env.w_prayer_pot_used               , 0.0           , 0.0           , 0.0
env.w_correct_jad_prayer            , 0.0           , 0.0           , 0.0
env.w_wrong_jad_prayer              , 0.0           , 0.0           , 0.0
env.w_correct_danger_prayer         , 0.25          , 0.25          , 0.25
env.w_wrong_danger_prayer           , 0.0           , 0.0           , 0.0
env.w_invalid_action                , -0.1          , -0.1          , -0.1
env.w_movement                      , 0.0           , 0.0           , 0.0
env.w_idle                          , 0.0           , 0.0           , 0.0
env.w_tick_penalty                  , -0.005        , -0.005        , -0.005
env.shape_food_full_waste_penalty   , -6.5          , -6.5          , -6.5
env.shape_food_waste_scale          , -1.2          , -1.2          , -1.2
env.shape_food_safe_hp_threshold    , 1.0           , 1.0           , 1.0
env.shape_food_no_threat_penalty    , 0.0           , 0.0           , 0.0
env.shape_pot_full_waste_penalty    , -6.5          , -6.5          , -6.5
env.shape_pot_waste_scale           , -1.2          , -1.2          , -1.2
env.shape_pot_safe_prayer_threshold , 1.0           , 1.0           , 1.0
env.shape_pot_no_threat_penalty     , 0.0           , 0.0           , 0.0
env.shape_wrong_prayer_penalty      , -1.25         , -1.25         , -1.25
env.shape_npc_specific_prayer_bonus , 1.5           , 1.5           , 1.5
env.shape_npc_melee_penalty         , -0.3          , -0.3          , -0.3
env.shape_wasted_attack_penalty     , -0.1          , -0.1          , -0.1
env.shape_wave_stall_start          , 500           , 500           , 500
env.shape_wave_stall_base_penalty   , -0.5          , -0.5          , -0.5
env.shape_wave_stall_ramp_interval  , 50            , 50            , 50
env.shape_wave_stall_cap            , -2.0          , -2.0          , -2.0
env.shape_not_attacking_grace_ticks , 2             , 2             , 2
env.shape_not_attacking_penalty     , -0.01         , -0.01         , -0.01
env.shape_kiting_reward             , 1.0           , 1.0           , 1.0
env.shape_kiting_min_dist           , 5             , 5             , 5
env.shape_kiting_max_dist           , 7             , 7             , 7
env.shape_unnecessary_prayer_penalty, -0.2          , -0.2          , -0.2
env.shape_resource_threat_window    , 2             , 2             , 2
env.curriculum_wave                 , 0             , 0             , 0
env.curriculum_pct                  , 0.0           , 0.0           , 0.0
env.curriculum_wave_2               , 0             , 0             , 0
env.curriculum_pct_2                , 0.0           , 0.0           , 0.0
env.curriculum_wave_3               , 0             , 0             , 0
env.curriculum_pct_3                , 0.0           , 0.0           , 0.0
env.disable_movement                , 0             , 0             , 0
vec.total_agents                    , 4096          , 4096          , 4096
vec.num_buffers                     , 2             , 2             , 2
vec.num_threads                     , 16            , 16            , 16
policy.hidden_size                  , 256           , 256           , 256
policy.num_layers                   , 2             , 2             , 2
policy.expansion_factor             , 1             , 1             , 1
torch.network                       , MinGRU        , MinGRU        , MinGRU
torch.encoder                       , DefaultEncoder, DefaultEncoder, DefaultEncoder
torch.decoder                       , DefaultDecoder, DefaultDecoder, DefaultDecoder
train.gpus                          , 1             , 1             , 1
train.seed                          , 42            , 42            , 42
train.total_timesteps               , 5000000000    , 5000000000    , 2500000000
train.learning_rate                 , 0.0003        , 0.0003        , 0.0003
train.anneal_lr                     , 0             , 0             , 0
train.min_lr_ratio                  , 0.0           , 0.0           , 0.0
train.gamma                         , 0.999         , 0.999         , 0.999
train.gae_lambda                    , 0.95          , 0.95          , 0.95
train.replay_ratio                  , 1.0           , 1.0           , 1.0
train.clip_coef                     , 0.2           , 0.2           , 0.2
train.vf_coef                       , 0.5           , 0.5           , 0.5
train.vf_clip_coef                  , 0.2           , 0.2           , 0.2
train.max_grad_norm                 , 0.5           , 0.5           , 0.5
train.ent_coef                      , 0.01          , 0.01          , 0.01
train.beta1                         , 0.95          , 0.95          , 0.95
train.beta2                         , 0.999         , 0.999         , 0.999
train.eps                           , 1e-12         , 1e-12         , 1e-12
train.minibatch_size                , 4096          , 4096          , 4096
train.horizon                       , 256           , 256           , 256
train.vtrace_rho_clip               , 1.0           , 1.0           , 1.0
train.vtrace_c_clip                 , 1.0           , 1.0           , 1.0
train.prio_alpha                    , 0.8           , 0.8           , 0.8
train.prio_beta0                    , 0.2           , 0.2           , 0.2
